FIPS_ADMIN,GMI_ADMIN,ADMIN_NAME,FIPS_CNTRY,GMI_CNTRY,CNTRY_NAME,POP_ADMIN,TYPE_ENG,TYPE_LOC,SQKM,SQMI,CELL_COUNT,MIN,MAX,RANGE,MEAN,STD,SUM
BM04,MMR-KST,Kachin State,BM,MMR,Myanmar,1037585,State,Pyine,89182.53,34433.38,89381,0,2344.265625,2344.265625,337.4090544,347.4892298,30157958.69
AQ,ASM,American Samoa,AQ,ASM,American Samoa,53000, , ,164.37,63.46,128,0,427.1451721,427.1451721,143.3579581,110.07506,18349.81863
CW,COK,Cook Is.,CW,COK,Cook Is.,17000, , ,150.94,58.28,131,0,568.8417969,568.8417969,149.5156044,134.9158074,19586.54417
NE,NIU,Niue,NE,NIU,Niue,2000, , ,250.26,96.63,238,0,80.85171509,80.85171509,16.6194057,13.08991108,3955.418557
FP,PYF,French Polynesia,FP,PYF,French Polynesia,217000, , ,2090.62,807.19,1878,0,1868.302734,1868.302734,281.0286732,185.4951302,527771.8483
TL,TKL,Tokelau,TL,TKL,Tokelau,1600, , ,7.4,2.86,0,0,0,0,0,0,0
TN,TON,Tonga,TN,TON,Tonga,98000, , ,463.65,179.01,350,0,146.9421692,146.9421692,2.401419791,14.52383413,840.4969268
DQ,UMI-JVI,Jarvis I.,DQ,UMI,Jarvis I.,-99999,District,Okrug,8.23,3.18,1,10.77032948,10.77032948,0,10.77032948,0,10.77032948
WF,WLF,Wallis & Futuna,WF,WLF,Wallis & Futuna,14000, , ,161.08,62.19,103,0,679.1560669,679.1560669,129.7032453,160.2071746,13359.43427
WS,WSM,Samoa,WS,WSM,Samoa,159000, , ,2948.54,1138.43,2633,0,710.1196899,710.1196899,174.6200744,107.4400786,459774.6558
CI,CHL-PS1,Ocean Islands,CI,CHL,Chile,2383,Administrative Subdivision, ,184.56,71.26,164,0,442.3844604,442.3844604,152.7895285,108.0671115,25057.48268
EC01,ECU-GLP,Galapagos,EC,ECU,Ecuador,10748,Province,Provincia,7675,2963.32,7303,0,1189.412842,1189.412842,139.3535258,128.2890151,1017698.799
PC,PCN,Pitcairn Is.,PC,PCN,Pitcairn Is.,-99999, , ,48.23,18.62,36,0,299.4144287,299.4144287,29.29321937,61.29112256,1054.555897
PE14,PER-LMB,Lambayeque,PE,PER,Peru,1048800,Department,Departamento,13736.56,5303.69,13535,0,1594.092163,1594.092163,110.5030582,165.4906338,1495658.893
SX,SGS,South Georgia & the South Sandwich Is.,SX,SGS,South Georgia & the South Sandwich Is.,-99999, , ,3701.71,1429.23,3418,0,2832.064697,2832.064697,345.2738483,208.5670089,1180146.014
SH,SHN,St. Helena,SH,SHN,St. Helena,7112, , ,130.93,50.55,117,36.4691658,738.2926025,701.8234367,254.9864788,130.3627989,29833.41802
AR20,ARG-SCR,Santa Cruz,AR,ARG,Argentina,165628,Province,Provincia,242544.08,93646.27,243103,0,2125.937744,2125.937744,71.93285847,101.8268309,17487093.69
AR23,ARG-TDF,Tierra del Fuego,AR,ARG,Argentina,71882,National Territory,Territorio Nacional,20793.3,8028.29,20559,0,1388.172485,1388.172485,67.41627334,93.03739686,1386011.164
CI02,CHL-ADG,Aisen del General Carlos Ibanez del Campo,CI,CHL,Chile,83060,Region,Region,105603.61,40773.55,102921,0,3894.138184,3894.138184,285.3701666,261.1946306,29370582.92
CI10,CHL-MYA,Magallanes y de la Antartica Chilena,CI,CHL,Chile,147750,Region,Region,125297.56,48377.4,119800,0,4062.792236,4062.792236,208.4278011,209.1829912,24969650.57
FK,FLK,Falkland Islands,FK,FLK,Falkland Is.,2136, , ,11449.72,4420.74,10795,0,849.8394165,849.8394165,32.05551556,51.66115083,346039.2905
AR18,ARG-SJU,San Juan,AR,ARG,Argentina,547865,Province,Provincia,86861.84,33537.36,87057,0,2660.43335,2660.43335,282.7225761,267.657073,24612979.31
CI03,CHL-ANT,Antofagasta,CI,CHL,Chile,423780,Region,Region,124838.4,48200.11,125036,0,1755.605835,1755.605835,178.9307681,165.3720506,22372787.51
CI05,CHL-ATC,Atacama,CI,CHL,Chile,238212,Region,Region,78088.05,30149.8,78240,0,1981.147339,1981.147339,329.9117005,232.8553492,25812291.45
CI07,CHL-CQM,Coquimbo,CI,CHL,Chile,520420,Region,Region,39600.46,15289.74,39646,0,1879.699951,1879.699951,397.8205764,275.6974157,15771994.57
CI12,CHL-RMT,Region Metropolitana,CI,CHL,Chile,5170293,Region,Region,15830.25,6112.06,15866,1,2647.298096,2646.298096,504.7098218,403.3778666,8007726.033
CI01,CHL-VLP,Valparaiso,CI,CHL,Chile,1428340,Region,Region,16082.28,6209.37,16030,0,2855.324219,2855.324219,415.7194092,351.6291114,6663982.13
AR04,ARG-CHB,Chubut,AR,ARG,Argentina,370127,Province,Provincia,223848.91,86428.06,223692,0,2183.817139,2183.817139,96.61358977,153.8606199,21611687.12
AR13,ARG-MND,Mendoza,AR,ARG,Argentina,1463642,Province,Provincia,151263.39,58402.8,151604,0,3275.067139,3275.067139,169.7137813,269.9089895,25729288.11
AR15,ARG-NEU,Neuquen,AR,ARG,Argentina,402917,Province,Provincia,93500.38,36100.5,93720,0,1696.794678,1696.794678,201.9564342,196.2792702,18927357.01
CI04,CHL-ARC,Araucania,CI,CHL,Chile,806075,Region,Region,32640.13,12602.35,32703,0,1596.277588,1596.277588,230.0634861,223.571743,7523766.186
CI06,CHL-BIO,Bio-Bio,CI,CHL,Chile,1789433,Region,Region,35951.61,13880.92,35952,0,1775.059204,1775.059204,223.3859033,266.5282365,8031169.997
CI08,CHL-LGB,Libertador General Bernardo O'Higgins,CI,CHL,Chile,718504,Region,Region,15860.43,6123.71,15884,0,2939.282471,2939.282471,393.0317708,417.0453183,6242916.648
CI09,CHL-LLA,Los Lagos,CI,CHL,Chile,978969,Region,Region,66368.97,25625.06,65563,0,2613.42749,2613.42749,284.2559108,346.9529141,18636670.28
CI11,CHL-MAU,Maule,CI,CHL,Chile,862719,Region,Region,30553.53,11796.72,30580,0,1865.179932,1865.179932,289.7702612,317.8968908,8861174.588
EC03,ECU-BLV,Bolivar,EC,ECU,Ecuador,170346,Province,Provincia,3915.54,1511.79,3924,4.898979664,801.2147217,796.315742,215.998125,101.1635256,847576.6426
